category_id,category_name,persona,segment,stars,review
5,Vêtements décontractés,"Lucas, 30",M / 26-35,5,J'ai récemment acheté un t-shirt de cette collection et je dois dire que je suis impressionné par la qualité du tissu ! Il est super confortable et parfait pour mes journées au bureau ou mes sorties décontractées. Je le recommande vivement à tous ceux qui aiment allier style et confort.
5,Vêtements décontractés,"Lucas, 30",M / 26-35,3,"Le sweat que j'ai commandé est sympa, mais je m'attendais à un peu plus de qualité pour le prix. Le design est moderne et ça me plaît, mais j'ai l'impression qu'il pourrait se déformer après quelques lavages. Parfait pour le casual, mais pas le meilleur rapport qualité-prix."
5,Vêtements décontractés,"Lucas, 30",M / 26-35,1,"Je suis vraiment déçu par ma commande. Le pantalon que j'ai reçu ne correspond pas du tout à la description, il est mal taillé et le tissu ne semble pas durable. J'attendais mieux de cette marque, surtout à ce prix."
1,Électronique de luxe,"Lucas, 30",M / 26-35,5,J'ai récemment acheté un smartphone de luxe et je suis absolument ravi ! La qualité de l'appareil photo et la fluidité d'utilisation sont exceptionnelles. C'est un vrai plaisir de l'utiliser au quotidien et je le recommande à tous les passionnés de technologie comme moi.
1,Électronique de luxe,"Lucas, 30",M / 26-35,3,"Le dernier modèle d'écouteurs que j'ai essayé est bon, mais pas aussi révolutionnaire que je l'espérais. La qualité sonore est correcte, mais il manque un peu de profondeur. Pour le prix, je m'attendais à quelque chose de plus impressionnant."
1,Électronique de luxe,"Lucas, 30",M / 26-35,1,"J'ai été très déçu par ma récente expérience d'achat. Le produit est arrivé défectueux et le service client a été très lent à répondre. Je ne m'attendais pas à cela pour un article de luxe, je ne recommanderai pas cette boutique."
8,Chaussures tendance,"Lucas, 30",M / 26-35,5,"Ces chaussures sont tout simplement incroyables ! Le confort est au rendez-vous et le design est ultra tendance. Je reçois des compliments à chaque fois que je les porte, parfait pour mes journées au bureau et mes sorties le soir."
8,Chaussures tendance,"Lucas, 30",M / 26-35,3,"Les chaussures sont stylées, mais je m'attendais à un peu plus de confort pour le prix. Elles sont belles, mais je trouve qu'elles manquent de soutien pour de longues journées debout. Peut-être que je m'attendais à trop."
8,Chaussures tendance,"Lucas, 30",M / 26-35,1,"Je suis vraiment déçu par ces chaussures. La qualité n'est pas à la hauteur du prix, et elles me font mal aux pieds après seulement quelques heures. Je ne les recommande pas du tout, surtout pour le prix que j'ai payé."
11,Articles de maison,"Lucas, 30",M / 26-35,5,"J'ai récemment acheté des articles de maison de cette marque et je suis absolument ravi ! Le design est moderne et élégant, parfait pour mon appartement. La qualité est au rendez-vous et mes amis ne cessent de me complimenter sur ma décoration."
11,Articles de maison,"Lucas, 30",M / 26-35,3,"Les articles sont jolis, mais je m'attendais à un peu plus de fonctionnalité. Le style est là, mais certains produits manquent d'innovation. C'est un bon choix pour ceux qui veulent un look tendance, mais je cherche quelque chose de plus pratique."
11,Articles de maison,"Lucas, 30",M / 26-35,1,"Je suis très déçu par mon achat. Les articles ne correspondent pas du tout à la description et la qualité est inférieure à ce que j'attendais. Je ne recommanderais pas ces produits, surtout pour le prix payé."
2,Accessoires de mode,"Lucas, 30",M / 26-35,5,"J'ai récemment acheté une montre élégante et je ne peux pas être plus satisfait ! Elle est à la fois chic et moderne, parfaite pour mes réunions professionnelles. Je reçois des compliments à chaque fois que je la porte."
2,Accessoires de mode,"Lucas, 30",M / 26-35,3,"Les accessoires sont beaux et tendance, mais je m'attendais à une qualité un peu plus élevée. Certains détails ne sont pas aussi raffinés que ce que j'avais espéré. Cela reste un bon achat pour le prix, mais je pense que je chercherai mieux la prochaine fois."
2,Accessoires de mode,"Lucas, 30",M / 26-35,1,"Je suis très déçu par ma commande. L'accessoire que j'ai reçu ne ressemble pas du tout à la photo et la qualité est médiocre. Je m'attendais à un produit haut de gamme, mais c'est loin d'être le cas."
